text,topicname,label
"<text>
<title>COMPUTER TERMINAL SYSTEMS &lt;CPML&gt; COMPLETES SALE</title>
<dateline>     COMMACK, N.Y., Feb 26 - </dateline>Computer Terminal Systems Inc said
it has completed the sale of 200,000 shares of its common
stock, and warrants to acquire an additional one mln shares, to
&lt;Sedio N.V.&gt; of Lugano, Switzerland for 50,000 dlrs.
    The company said the warrants are exercisable for five
years at a purchase price of .125 dlrs per share.
    Computer Terminal said Sedio also has the right to buy
additional shares and increase its total holdings up to 40 pct
of the Computer Terminal's outstanding common stock under
certain circumstances involving change of control at the
company.
    The company said if the conditions occur the warrants would
be exercisable at a price equal to 75 pct of its common stock's
market price at the time, not to exceed 1.50 dlrs per share.
    Computer Terminal also said it sold the technolgy rights to
its Dot Matrix impact technology, including any future
improvements, to &lt;Woodco Inc&gt; of Houston, Tex. for 200,000
dlrs. But, it said it would continue to be the exclusive
worldwide licensee of the technology for Woodco.
    The company said the moves were part of its reorganization
plan and would help pay current operation costs and ensure
product delivery.
    Computer Terminal makes computer generated labels, forms,
tags and ticket printers and terminals.
 Reuter
</text>",acq,1
"<text>
<title>MCLEAN'S &lt;MII&gt; U.S. LINES SETS ASSET TRANSFER</title>
<dateline>    CRANFORD, N.J., Feb 26 - </dateline>McLean Industries Inc's United
States Lines Inc subsidiary said it has agreed in principle to
transfer its South American service by arranging for the
transfer of certain charters and assets to &lt;Crowley Mariotime
Corp&gt;'s American Transport Lines Inc subsidiary.
    U.S. Lines said negotiations on the contract are expected
to be completed within the next week. Terms and conditions of
the contract would be subject to approval of various regulatory
bodies, including the U.S. Bankruptcy Court.
 Reuter
</text>",acq,1
"<text>
<title>CHEMLAWN &lt;CHEM&gt; RISES ON HOPES FOR HIGHER BIDS</title>
<author>    By Cal Mankowski, Reuters</author>
<dateline>    NEW YORK, Feb 26 - </dateline>ChemLawn Corp &lt;CHEM&gt; could attract a
higher bid than the 27 dlrs per share offered by Waste
Management Inc &lt;WNX&gt;, Wall Street arbitrageurs said.
    Shares of ChemLawn shot up 11-5/8 to 29-3/8 in
over-the-counter- trading with 3.8 mln of the company's 10.1
mln shares changing hands by late afternoon.
    ""This company could go for 10 times cash flow or 30 dlrs,
maybe 32 dollars depending on whether there is a competing
bidder,"" an arbitrageur said. Waste Management's tender offer,
announced before the opening today, expires March 25.
    ""This is totally by surprise,"" said Debra Strohmaier, a
ChemLawn spokeswoman. The company's board held a regularly
scheduled meeting today and was discussing the Waste Management
announcement. She said a statement was expected but it was not
certain when it would be ready. 
    She was unable to say if there had been any prior contact
between Waste Management and ChemLawn officials.
    ""I think they will resist it,"" said Elliott Schlang,
analyst at Prescott, Ball and Turben Inc. ""Any company that
doesn't like a surprise attack would.""
    Arbitrageurs pointed out it is difficult to resist tender
offers for any and all shares for cash. Schlang said ChemLawn
could try to find a white knight if does not want to be
acquired by Waste Management.
    Analyst Rosemarie Morbelli of Ingalls and Snyder said
ServiceMaster Companies L.P. &lt;SVM&gt; or Rollins Inc &lt;ROL&gt; were
examples of companies that could be interested.
    ChemLawn, with about two mln customers, is the largest U.S.
company involved in application of fertilizers, pesticides and
herbicides on lawns. Waste Management is involved in removal of
wastes.
    Schlang said ChemLawn's customer base could be valuable to
another company that wants to capitalize on a strong
residential and commercial distribution system.
    Both Schlang and Morbelli noted that high growth rates had
catapulted ChemLawn's share price into the mid-30's in 1983 but
the stock languished as the rate of growth slowed.
    Schlang said the company's profits are concentrated in the
fourth quarter. In 1986 ChemLawn earned 1.19 dlrs per share for
the full year, and 2.58 dlrs in the fourth quarter.
    Morbelli noted ChemLawn competes with thousands of
individual entrepreuers who offer lawn and garden care sevice.
 Reuter
</text>",acq,1
"<text>
<title>&lt;COFAB INC&gt; BUYS GULFEX FOR UNDISCLOSED AMOUNT</title>
<dateline>    HOUSTON, Feb 26 - </dateline>CoFAB Inc said it acquired &lt;Gulfex Inc&gt;,
a Houston-based fabricator of custom high-pressure process
vessels for the energy and petrochemical industries.
    CoFAB said its group of companies manufacture specialized
cooling and lubricating systems for the oil and gas,
petrochemical, utility, pulp and paper and marine industries.
 Reuter
</text>",acq,1
"<text>
<title>INVESTMENT FIRMS CUT CYCLOPS &lt;CYL&gt; STAKE</title>
<dateline>    WASHINGTON, Feb 26 - </dateline>A group of affiliated New York
investment firms said they lowered their stake in Cyclops Corp
to 260,500 shares, or 6.4 pct of the total outstanding common
stock, from 370,500 shares, or 9.2 pct.
    In a filing with the Securities and Exchange Commission,
the group, led by Mutual Shares Corp, said it sold 110,000
Cyclops common shares on Feb 17 and 19 for 10.0 mln dlrs.
 Reuter
</text>",acq,1
"<text>
<title>AMERICAN EXPRESS &lt;AXP&gt; SEEN IN POSSIBLE SPINNOFF</title>
<author>    By Patti Domm, Reuter</author>
<dateline>    New York, Feb 26 - </dateline>American Express Co remained silent on
market rumors it would spinoff all or part of its Shearson
Lehman Brothers Inc, but some analysts said the company may be
considering such a move because it is unhappy with the market
value of its stock.
    American Express stock got a lift from the rumor, as the
market calculated a partially public Shearson may command a
good market value, thereby boosting the total value of American
Express. The rumor also was accompanied by talk the financial
services firm would split its stock and boost its dividend.
    American Express closed on the New York Stock Exchange at
72-5/8, up 4-1/8 on heavy volume.
    American Express would not comment on the rumors or its
stock activity.
    Analysts said comments by the company at an analysts'
meeting Tuesday helped fuel the rumors as did an announcement
yesterday of management changes.
    At the meeting, company officials said American Express
stock is undervalued and does not fully reflect the performance
of Shearson, according to analysts.
    Yesterday, Shearson said it was elevating its chief
operating officer, Jeffery Lane, to the added position of
president, which had been vacant. It also created four new
positions for chairmen of its operating divisions.
    Analysts speculated a partial spinoff would make most
sense, contrary to one variation on market rumors of a total
spinoff.
    Some analysts, however, disagreed that any spinoff of
Shearson would be good since it is a strong profit center for
American Express, contributing about 20 pct of earnings last
year.
    ""I think it is highly unlikely that American Express is
going to sell shearson,"" said Perrin Long of Lipper Analytical.
He questioned what would be a better investment than ""a very
profitable securities firm.""
    Several analysts said American Express is not in need of
cash, which might be the only reason to sell a part of a strong
asset.
    But others believe the company could very well of
considered the option of spinning out part of Shearson, and one
rumor suggests selling about 20 pct of it in the market.
    Larry Eckenfelder of Prudential-Bache Securities said he
believes American Express could have considered a partial
spinoff in the past.
    ""Shearson being as profitable as it is would have fetched a
big premium in the market place. Shearson's book value is in
the 1.4 mln dlr range. Shearson in the market place would
probably be worth three to 3.5 bilion dlrs in terms of market
capitalization,"" said Eckenfelder.
    Some analysts said American Express could use capital since
it plans to expand globally.
    ""They have enormous internal growth plans that takes
capital. You want your stock to reflect realistic valuations to
enhance your ability to make all kinds of endeavors down the
road,"" said E.F. Hutton Group analyst Michael Lewis.
    ""They've outlined the fact that they're investing heavily
in the future, which goes heavily into the international
arena,"" said Lewis. ""...That does not preclude acquisitions and
divestitures along the way,"" he said.
    Lewis said if American Express reduced its exposure to the
brokerage business by selling part of shearson, its stock might
better reflect other assets, such as the travel related
services business.
    ""It could find its true water mark with a lesser exposure
to brokerage. The value of the other components could command a
higher multiple because they constitute a higher percentage of
the total operating earnings of the company,"" he said.
     Lewis said Shearson contributed 316 mln in after-tax
operating earnings, up from about 200 mln dlrs in 1985.
   
 Reuter
</text>",acq,1
"<text>
<title>HONG KONG FIRM UPS WRATHER&lt;WCO&gt; STAKE TO 11 PCT</title>
<dateline>    WASHINGTON, Feb 26 - </dateline>Industrial Equity (Pacific) Ltd, a
Hong Kong investment firm, said it raised its stake in Wrather
Corp to 816,000 shares, or 11.3 pct of the total outstanding
common stock, from 453,300 shares, or 6.3 pct.
    In a filing with the Securities and Exchange Commission,
Industrial Equity, which is principally owned by Brierley
Investments Ltd, a publicly held New Zealand company, said it
bought 362,700 Wrather common shares between Feb 13 and 24 for
6.6 mln dlrs.
    When it first disclosed its stake in Wrather earlier this
month, it said it bought the stock for investment purposes.
 Reuter
</text>",acq,1
"<text>
<title>LIEBERT CORP &lt;LIEB&gt; APPROVES MERGER</title>
<dateline>    COLUMBUS, Ohio, Feb 26 - </dateline>Liebert Corp said its shareholders
approved the merger of a wholly-owned subsidiary of Emerson
Electric Co &lt;EMR&gt;.
    Under the terms of the merger, each Liebert shareholder
will receive .3322 shares of Emerson stock for each Liebert
share.
 Reuter
</text>",acq,1
"<text>
<title>GULF APPLIED TECHNOLOGIES &lt;GATS&gt; SELLS UNITS</title>
<dateline>    HOUSTON, Feb 26 - </dateline>Gulf Applied Technologies Inc said it
sold its subsidiaries engaged in pipeline and terminal
operations for 12.2 mln dlrs.
    The company said the sale is subject to certain post
closing adjustments, which it did not explain.
 Reuter
</text>",acq,1
"<text>
<title>INVESTMENT GROUP RAISES ROBESON &lt;RBSN&gt; STAKE</title>
<dateline>    WASHINGTON, Feb 26 - </dateline>A group of affiliated Miami-based
investment firms led by Fundamental Management Corp said it
raised its stake in Robeson Industries Corp to 238,000 shares,
or 14.6 pct of the total, from 205,000 or 12.8 pct.
    In a filing with the Securities and Exchange Commission,
the group said it bought 32,800 Robeson common shares between
Jan 26 and Feb 9 for 175,691 dlrs.
    The group said it may buy more shares and plans to study
Robeson's operations. Afterwards it may recommend that
management make changes in its operations. Fundamental
Management Chairman Carl Singer was recently elected to the
Robeson board.
 Reuter
</text>",acq,1
