text,topicname,label
"<text>
<title>DIAMOND SHAMROCK (DIA) CUTS CRUDE PRICES</title>
<dateline>    NEW YORK, FEB 26 - </dateline>Diamond Shamrock Corp said that
effective today it had cut its contract prices for crude oil by
1.50 dlrs a barrel.
    The reduction brings its posted price for West Texas
Intermediate to 16.00 dlrs a barrel, the copany said.
    ""The price reduction today was made in the light of falling
oil product prices and a weak crude oil market,"" a company
spokeswoman said.
    Diamond is the latest in a line of U.S. oil companies that
have cut its contract, or posted, prices over the last two days
citing weak oil markets.
 Reuter
</text>",crude,4
"<text>
<title>OPEC MAY HAVE TO MEET TO FIRM PRICES - ANALYSTS</title>
<author>    BY TED D'AFFLISIO, Reuters</author>
<dateline>    NEW YORK, Feb 26 - </dateline>OPEC may be forced to meet before a
scheduled June session to readdress its production cutting
agreement if the organization wants to halt the current slide
in oil prices, oil industry analysts said.
    ""The movement to higher oil prices was never to be as easy
as OPEC thought. They may need an emergency meeting to sort out
the problems,"" said Daniel Yergin, director of Cambridge Energy
Research Associates, CERA.
    Analysts and oil industry sources said the problem OPEC
faces is excess oil supply in world oil markets.
    ""OPEC's problem is not a price problem but a production
issue and must be addressed in that way,"" said Paul Mlotok, oil
analyst with Salomon Brothers Inc.
    He said the market's earlier optimism about OPEC and its
ability to keep production under control have given way to a
pessimistic outlook that the organization must address soon if
it wishes to regain the initiative in oil prices.
    But some other analysts were uncertain that even an
emergency meeting would address the problem of OPEC production
above the 15.8 mln bpd quota set last December.
    ""OPEC has to learn that in a buyers market you cannot have
deemed quotas, fixed prices and set differentials,"" said the
regional manager for one of the major oil companies who spoke
on condition that he not be named. ""The market is now trying to
teach them that lesson again,"" he added.
    David T. Mizrahi, editor of Mideast reports, expects OPEC
to meet before June, although not immediately. However, he is
not optimistic that OPEC can address its principal problems.
    ""They will not meet now as they try to take advantage of the
winter demand to sell their oil, but in late March and April
when demand slackens,"" Mizrahi said.
    But Mizrahi said that OPEC is unlikely to do anything more
than reiterate its agreement to keep output at 15.8 mln bpd.""
    Analysts said that the next two months will be critical for
OPEC's ability to hold together prices and output.
    ""OPEC must hold to its pact for the next six to eight weeks
since buyers will come back into the market then,"" said Dillard
Spriggs of Petroleum Analysis Ltd in New York.
    But Bijan Moussavar-Rahmani of Harvard University's Energy
and Environment Policy Center said that the demand for OPEC oil
has been rising through the first quarter and this may have
prompted excesses in its production.
    ""Demand for their (OPEC) oil is clearly above 15.8 mln bpd
and is probably closer to 17 mln bpd or higher now so what we
are seeing characterized as cheating is OPEC meeting this
demand through current production,"" he told Reuters in a
telephone interview.
 Reuter
</text>",crude,4
"<text type=""BRIEF"">
******<title>TEXACO CANADA CUTS CRUDE PRICES 64 CANADIAN CTS/BBL, PAR GRADE TO 22.26 CANADIAN DLRS
</title>Blah blah blah.


</text>",crude,4
"<text>
<title>TEXACO CANADA &lt;TXC&gt; LOWERS CRUDE POSTINGS</title>
<dateline>    NEW YORK, Feb 26 - </dateline>Texaco Canada said it lowered the
contract price it will pay for crude oil 64 Canadian cts a
barrel, effective today.
    The decrease brings the company's posted price for the
benchmark grade, Edmonton/Swann Hills Light Sweet, to 22.26
Canadian dlrs a bbl.
    Texaco Canada last changed its crude oil postings on Feb
19.
 Reuter
</text>",crude,4
"<text>
<title>MARATHON PETROLEUM REDUCES CRUDE POSTINGS</title>
<dateline>    NEW YORK, Feb 26 - </dateline>Marathon Petroleum Co said it reduced
the contract price it will pay for all grades of crude oil one
dlr a barrel, effective today.
    The decrease brings Marathon's posted price for both West
Texas Intermediate and West Texas Sour to 16.50 dlrs a bbl. The
South Louisiana Sweet grade of crude was reduced to 16.85 dlrs
a bbl.
    The company last changed its crude postings on Jan 12.
 Reuter
</text>",crude,4
"<text>
<title>HOUSTON OIL &lt;HO&gt; RESERVES STUDY COMPLETED</title>
<dateline>    HOUSTON, Feb 26 - </dateline>Houston Oil Trust said that independent
petroleum engineers completed an annual study that estimates
the trust's future net revenues from total proved reserves at
88 mln dlrs and its discounted present value of the reserves at
64 mln dlrs.
    Based on the estimate, the trust said there may be no money
available for cash distributions to unitholders for the
remainder of the year.
    It said the estimates reflect a decrease of about 44 pct in
net reserve revenues and 39 pct in discounted present value
compared with the study made in 1985.
 Reuter
</text>",crude,4
"<text>
<title>KUWAIT SAYS NO PLANS FOR EMERGENCY OPEC TALKS</title>
<dateline>    KUWAIT, March 1 - </dateline>Kuwait""s Oil Minister, in remarks
published today, said there were no plans for an emergency OPEC
meeting to review oil policies after recent weakness in world
oil prices.
    Sheikh Ali al-Khalifa al-Sabah was quoted by the local
daily al-Qabas as saying: ""None of the OPEC members has asked
for such a meeting.""
    He denied Kuwait was pumping above its quota of 948,000
barrels of crude daily (bpd) set under self-imposed production
limits of the 13-nation organisation.
    Traders and analysts in international oil markets estimate
OPEC is producing up to one mln bpd above a ceiling of 15.8 mln
bpd agreed in Geneva last December.
    They named Kuwait and the United Arab Emirates, along with
the much smaller producer Ecuador, among those producing above
quota. Kuwait, they said, was pumping 1.2 mln bpd.
    ""This rumour is baseless. It is based on reports which said
Kuwait has the ability to exceed its share. They suppose that
because Kuwait has the ability, it will do so,"" the minister
said.
    Sheikh Ali has said before that Kuwait had the ability to
produce up to 4.0 mln bpd.
    ""If we can sell more than our quota at official prices,
while some countries are suffering difficulties marketing their
share, it means we in Kuwait are unusually clever,"" he said.
    He was referring apparently to the Gulf state of qatar,
which industry sources said was selling less than 180,000 bpd
of its 285,000 bpd quota, because buyers were resisting
official prices restored by OPEC last month pegged to a marker
of 18 dlrs per barrel.
    Prices in New York last week dropped to their lowest levels
this year and almost three dollars below a three-month high of
19 dollars a barrel.
    Sheikh Ali also delivered ""a challenge to any international
oil company that declared Kuwait sold below official prices.""
    Because it was charging its official price, of 16.67 dlrs a
barrel, it had lost custom, he said but did not elaborate.
    However, Kuwait had guaranteed markets for its oil because
of its local and international refining facilities and its own
distribution network abroad, he added.
    He reaffirmed that the planned meeting March 7 of OPEC""s
differentials committee has been postponed until the start of
April at the request of certain of the body""s members.
    Ecuador""s deputy energy minister Fernando Santos Alvite said
last Wednesday his debt-burdened country wanted OPEC to assign
a lower official price for its crude, and was to seek this at
talks this month of opec""s pricing committee.
    Referring to pressure by oil companies on OPEC members, in
apparent reference to difficulties faced by Qatar, he said: ""We
expected such pressure. It will continue through March and
April."" But he expected the situation would later improve.
 REUTER
</text>",crude,4
"<text>
<title>INDONESIA SEEN AT CROSSROADS OVER ECONOMIC CHANGE</title>
<author>    By Jeremy Clift, Reuters</author>
<dateline>    JAKARTA, March 1 - </dateline>Indonesia appears to be nearing a
political crossroads over measures to deregulate its protected
economy, the U.S. Embassy says in a new report.
    To counter falling oil revenues, the government has
launched a series of measures over the past nine months to
boost exports outside the oil sector and attract new
investment.
    Indonesia, the only Asian member of OPEC and a leading
primary commodity producer, has been severely hit by last year""s
fall in world oil prices, which forced it to devalue its
currency by 31 pct in September.
    But the U.S. Embassy report says President Suharto""s
government appears to be divided over what direction to lead
the economy.
    ""(It) appears to be nearing a crossroads with regard to
deregulation, both as it pertains to investments and imports,""
the report says. It primarily assesses Indonesia""s agricultural
sector, but also reviews the country""s general economic
performance.
    It says that while many government officials and advisers
are recommending further relaxation, ""there are equally strong
pressures being exerted to halt all such moves.""
    ""This group strongly favours an import substitution economy,""
the report says.
    Indonesia""s economic changes have been welcomed by the World
Bank and international bankers as steps in the right direction,
though they say crucial areas of the economy like plastics and
steel remain highly protected, and virtual monopolies.
    Three sets of measures have been announced since last May,
which broadened areas for foreign investment, reduced trade
restrictions and liberalised imports.
    The report says Indonesia""s economic growth in calendar 1986
was probably about zero, and the economy may even have
contracted a bit. ""This is the lowest rate of growth since the
mid-1960s,"" the report notes.
    Indonesia, the largest country in South-East Asia with a
population of 168 million, is facing general elections in
April.
    But the report hold out little hope for swift improvement
in the economic outlook. ""For 1987 early indications point to a
slightly positive growth rate not exceeding one pct. Economic
activity continues to suffer due to the sharp fall in export
earnings from the petroleum industry.""
    ""Growth in the non-oil sector is low because of weak
domestic demand coupled with excessive plant capacity, real
declines in construction and trade, and a reduced level of
growth in agriculture,"" the report states.
    Bankers say continuation of present economic reforms is
crucial for the government to get the international lending its
needs.
    A new World Bank loan of 300 mln dlrs last month in balance
of payments support was given partly to help the government
maintain the momentum of reform, the Bank said.
 REUTER
</text>",crude,4
"<text>
<title>SAUDI RIYAL DEPOSIT RATES REMAIN FIRM</title>
<dateline>    BAHRAIN, March 1 - </dateline>Saudi riyal interbank deposits were
steady at yesterday's higher levels in a quiet market.
    Traders said they were reluctant to take out new positions
amidst uncertainty over whether OPEC will succeed in halting
the current decline in oil prices.
    Oil industry sources said yesterday several Gulf Arab
producers had had difficulty selling oil at official OPEC
prices but Kuwait has said there are no plans for an emergency
meeting of the 13-member organisation.
    A traditional Sunday lull in trading due to the European
weekend also contributed to the lack of market activity.
    Spot-next and one-week rates were put at 6-1/4, 5-3/4 pct
after quotes ranging between seven, six yesterday.
    One, three, and six-month deposits were quoted unchanged at
6-5/8, 3/8, 7-1/8, 6-7/8 and 7-3/8, 1/8 pct respectively.
    The spot riyal was quietly firmer at 3.7495/98 to the
dollar after quotes of 3.7500/03 yesterday.
 REUTER
</text>",crude,4
"<text>
<title>QATAR UNVEILS BUDGET FOR FISCAL 1987/88</title>
<dateline>    DOHA, March 1 - </dateline>The Gulf oil state of Qatar, recovering
slightly from last year's decline in world oil prices,
announced its first budget since early 1985 and projected a
deficit of 5.472 billion riyals.
    The deficit compared with a shortfall of 7.3 billion riyals
in the last published budget for 1985/86.
    In a statement outlining the budget for the fiscal year
1987/88 beginning today, Finance and Petroleum Minister Sheikh
Abdul-Aziz bin Khalifa al-Thani said the government expected to
spend 12.217 billion riyals in the period.
    Projected expenditure in the 1985/86 budget had been 15.6
billion riyals.
    Sheikh Abdul-Aziz said government revenue would be about
6.745 billion riyals, down by about 30 pct on the 1985/86
projected revenue of 9.7 billion.
    The government failed to publish a 1986/87 budget due to
uncertainty surrounding oil revenues.
    Sheikh Abdul-Aziz said that during that year the government
decided to limit recurrent expenditure each month to
one-twelfth of the previous fiscal year's allocations minus 15
pct.
    He urged heads of government departments and public
institutions to help the government rationalise expenditure. He
did not say how the 1987/88 budget shortfall would be covered.
    Sheikh Abdul-Aziz said plans to limit expenditure in
1986/87 had been taken in order to relieve the burden placed on
the country's foreign reserves.
    He added in 1987/88 some 2.766 billion riyals had been
allocated for major projects including housing and public
buildings, social services, health, education, transport and
communications, electricity and water, industry and
agriculture.
    No figure was revealed for expenditure on defence and
security. There was also no projection for oil revenue.
    Qatar, an OPEC member, has an output ceiling of 285,000
barrels per day.
    Sheikh Abdul-Aziz said: ""Our expectations of positive signs
regarding (oil) price trends, foremost among them OPEC's
determination to shoulder its responsibilites and protect its
wealth, have helped us make reasonable estimates for the coming
year's revenue on the basis of our assigned quota.""
 REUTER
</text>",crude,4
