text,topicname,label
"<text>
<title>JAPAN EXPECTED TO CUT BASE RATE FOR STATE BODIES</title>
<dateline>    TOKYO, Feb 27 - </dateline>Japan is expected to cut the base lending
rate for state financial institutions to 5.5 pct from 6.2 as
part of the recent pact by major industrial nations in Paris,
Finance Ministry sources said.
    They said the cut is based on a revision of the Trust Fund
Bureau Law, which should be approved by parliament on March 3,
abolishing the 6.05 pct minimum interest rate on deposits with
the bureau.
    The bureau channels funds to government financial
institutions for public works and other official uses, they
said.
    The base lending rate for state bodies such as the Japan
Development Bank, People's Finance Corp and the finance
corporations of local public enterprises usually moves in
tandem with long-term prime rates, the sources said.
    However, it was impossible for them to follow the last cut,
to 5.8 pct from 6.2 pct on January 28, because the Trust Fund
Bureau rate was legally set at 6.05 pct.
    The ministry will abolish the minimum rate and introduce a
market-related one to resolve the problem and stimulate the
domestic economy, they said.
    On Tuesday, the ministry allowed long-term bankers to cut
their prime to a record low of 5.5 pct, effective February 28.
The move suggested it had reached agreement with depositors
using the bureau, the postal savings system of the Posts and
Telecommunications Ministry and the Japan welfare annuity of
the Ministry of Health and Welfare, the sources said.
    These ministries are trying to determine which market rates
should be considered when setting the bureau's deposit rate,
the ministry sources said.
    Coupon rates on new 10-year government bonds, minus 0.1
percentage points, is the likeliest choice, they added.
 REUTER
</text>",interest,6
"<text>
<title>ITALIAN TREASURY CUTS INTEREST ON CERTIFICATES</title>
<dateline>    ROME, March 1 - </dateline>The Italian treasury said annual coupon
rates payable March 1988 on two issues of long-term treasury
certificates (CCTs) would be cut by about four percentage
points compared with rates this March.
    Coupon rates on 10-year certificates maturing March 1995
will fall to 9.80 pct from 13.65 pct and rates on 10-year
issues maturing in March 1996 would fall to 10.05 pct from
14.30 pct.
    The Treasury also cut by 0.60 point six-monthly coupons
payable this September on six issues maturing between September
1988 and September 1991.
    The issues carry terms of between five and seven years and
will have coupon rates of between 4.85 and 5.65 pct in
September compared with 5.45 and 6.25 pct this March.
 REUTER
</text>",interest,6
"<text>
<title>JAPAN TO PROMOTE INTEREST RATE LIBERALISATION</title>
<dateline>    TOKYO, March 2 - </dateline>The Bank of Japan decided at a policy
board meeting to promote further interest rate liberalisation
by lowering the minimum denomination of regulation-free large
deposits and by raising the interest rate ceiling on money
market certificates (MMCs), a central bank official said.
    The new guideline will go into effect on April 6, the bank
said.
    Under the guideline, the minimum denomination of
regulation-free large deposits will be lowered to 100 mln yen
from 300 mln.
    The interest rate ceiling of MMCs with maturities of
between one year and two years will be set at 0.5 percentage
point below the prevailing certificate of deposit rate, the
bank said.
    But the ceiling on MMCs with maturities of one year or less
will remain the same, or 0.75 percentage point below the CD
rates.
    The minimum denomination of MMCs will be lowered to 10 mln
yen from 30 mln.
    The bank also said time deposit rates will be lowered by
0.37 point, effective March 16, in line with the half-point cut
in the official discount rate on February 23.
    New interest rates on two-year and one-year deposits at
banks, for example, will be 3.64 pct and 3.39 pct per annum,
respectively.
    Demand deposit rates, however, will remain the same.
 REUTER
</text>",interest,6
"<text type=""BRIEF"">
******<title> MAJOR SWISS BANKS RAISE CUSTOMER TIME DEPOSIT RATES 1/4 POINT TO THREE PCT - CREDIT SUISSE
</title>Blah blah blah.


</text>",interest,6
"<text type=""BRIEF"">
******<title> CORRECTED - MAJOR SWISS BANKS RAISE CUSTOMER TIME DEPOSIT RATES 1/4 POINT TO 3-1/4 PCT - CREDIT SUISSE
</title>Blah blah blah.


</text>",interest,6
"<text>
<title>NO BUNDESBANK POLICY CHANGES EXPECTED THURSDAY</title>
<dateline>    FRANKFURT, March 3 - </dateline>The Bundesbank is unlikely to change
its credit policies at its central bank council meeting on
Thursday, as exchange rates and short-term interest rates have
stabilized over the past few weeks, money market dealers said.
    Attention in the money market is focused on tomorrow's
tender for a securities repurchase pact, from which funds will
be credited on Thursday, when an earlier pact expires, draining
16 billion marks from the system.
    The tender was announced last Friday, because carnival
festivities closed banks in Duesseldorf yesterday, and will
close banks here this afternoon.
    Because of the disruption to business from carnival,
minimum reserve figures for the start of the month are
unrealistic, making it difficult for banks to assess their
needs at the tender.
    Dealers said the Bundesbank would want to inject enough
liquidity in this week's pact to keep short-term rates down.
    But because of uncertainty about banks' current holdings,
the Bundesbank may well allocate less than 16 billion marks
this week, and top it up if necessary at next week's tender.
    ""I would not be surprised if the Bundesbank cuts the amount
a little, to say 14 or 15 billion marks,"" one dealer said.
    ""They would then stock it up at the next tender when the
need is clearer,"" he added.
    An earlier pact expires next week, draining 8.5 billion
marks from the system. Banks also face a heavy but temporary
drain this month from a major tax deadline for customers.
    Banks held 52.0 billion marks on February 27 at the
Bundesbank, averaging 51.0 billion over the whole month, just
clear of the 50.5 billion February reserve requirement.
    Call money traded today at 3.85/95 pct, up from 3.80/90
yesterday.
 REUTER
</text>",interest,6
"<text>
<title>NO BUNDESBANK POLICY CHANGES EXPECTED THURSDAY</title>
<dateline>    FRANKFURT, March 3 - </dateline>The Bundesbank is unlikely to change
its credit policies at its central bank council meeting on
Thursday, as exchange rates and short-term interest rates have
stabilized over the past few weeks, money market dealers said.
    Attention in the money market is focused on tomorrow's
tender for a securities repurchase pact, from which funds will
be credited on Thursday, when an earlier pact expires, draining
16 billion marks from the system.
    The tender was announced last Friday, because carnival
festivities closed banks in Duesseldorf yesterday, and will
close banks here this afternoon.
    Because of the disruption to business from carnival,
minimum reserve figures for the start of the month are
unrealistic, making it difficult for banks to assess their
needs at the tender.
    Dealers said the Bundesbank would want to inject enough
liquidity in this week's pact to keep short-term rates down.
    But because of uncertainty about banks' current holdings,
the Bundesbank may well allocate less than 16 billion marks
this week, and top it up if necessary at next week's tender.
    ""I would not be surprised if the Bundesbank cuts the amount
a little, to say 14 or 15 billion marks,"" one dealer said.
    ""They would then stock it up at the next tender when the
need is clearer,"" he added.
    An earlier pact expires next week, draining 8.5 billion
marks from the system. Banks also face a heavy but temporary
drain this month from a major tax deadline for customers.
    Banks held 52.0 billion marks on February 27 at the
Bundesbank, averaging 51.0 billion over the whole month, just
clear of the 50.5 billion February reserve requirement.
    Call money traded today at 3.85/95 pct, up from 3.80/90
yesterday.
 REUTER
</text>",interest,6
"<text>
<title>FED EXPECTED TO ADD TEMPORARY RESERVES</title>
<dateline>    NEW YORK, March 3 - </dateline>The Federal Reserve is expected to
enter the U.S. Government securities market to add temporary
reserves, economists said.
    They expect it to supply the reserves indirectly by
arranging 1.5 to two billion dlrs of customer repurchase
agreements. The Fed may add the reserves directly instead via
System repurchases.
    Federal funds, which averaged 6.18 pct yesterday, opened at
6-3/16 pct and stayed there in early trading. Analysts said the
rate is under upward pressure partly from settlement of 8.25
billion dlrs of five-year Treasury notes.
 Reuter
</text>",interest,6
"<text type=""BRIEF"">
******<title>FED SETS 1.5 BILLION DLR CUSTOMER REPURCHASE, FED SAYS
</title>Blah blah blah.


</text>",interest,6
"<text>
<title>FED ADDS RESERVES VIA CUSTOMER REPURCHASES</title>
<dateline>    NEW YORK, March 3 - </dateline>The Federal Reserve entered the U.S.
Government securities market to arrange 1.5 billion dlrs of
customer repurchase agreements, a Fed spokesman said.
    Dealers said Federal funds were trading at 6-1/4 pct when
the Fed began its temporary and indirect supply of reserves to
the banking system.
 Reuter
</text>",interest,6
"<text>
<title>GM'S &lt;GM&gt; PONTIAC HAS INTEREST RATE INCENTIVES</title>
<dateline>    PONTIAC, Mich., March 4 - </dateline>General Motors Corp said its
Pontiac Division has established an interest rate support
incentive program, effective immediately, as an alternative to
its current option bonus program.
    The company said qualified buyers of Pontiacs may now
select special finance rates of 3.9 pct on 24-month contracts,
7.9 pct on 36-month contracts, 8.9 pct on 48-mopnth contracts
or 9.9 pct on 60-month contracts.  The program is scheduled to
expire April 30.
    Under the option bonus program, which is also scheduled to
expire April 30, buyers receive cash bonuses on the purchase of
Pontiacs equipped with option group packages, with the amount
depending on the option level on each vehicle.
    The company said the special interst rate program applies
to ann new 1986 and 1987 Pontiacs sold from dealer stock and
delivered to customers during the program period.  A customer
may choose only one program, it said.
 Reuter
</text>",interest,6
"<text>
<title>FED DRAFTS CURRENCY, RATE SWAP RISK GAUGE</title>
<dateline>    WASHINGTON, March 4 - </dateline>The Federal Reserve Board voted
unanimously to propose a formula for calculating the risk of
interest rate and currency swaps as part of its ongoing effort
to come up with a new capital standard for U.S. banks that
takes into account the riskiness of a bank's loans and other
assets.
    Fed officials said an identical proposal was being issues
today by the Bank of England.
    The Fed set a 60-day period for public comment on the plan.
    The proposal adopted today addresses only the credit risks
associated with interest rate swaps, forward foreign exchange
contracts and similar financial instruments.
    Previously, the Fed Jan. 8 proposed a series of guidelines
for calculating the risk of other off-balance-sheet activities
that banks would be required to take into account in
calculating the minimum financial cushion they would need to
maintain.
    Both guidelines set five broad categories of risk for loans
and other bank assets and assigned to each a level of risk that
would establish a bank's minimum capital needs.
    The additional guidelines proposed today would determine
the amount of capital support required for a bank's current
exposure for a given asset and the potential future exposure.
    The current exposure would be measured by the
mark-to-market value of the asset, which would reflect the
replacement cost.
    Potential future increases in the replacement cost would be
calculated using credit conversion factors based on statistical
analyses by the staffs of the Bank of England and U.S. banking
regulators. Future exposure would rise over the life of the
asset.
    The Fed staff said the risk gauge attempted to balance
conflicting needs for precision and simplicity.
    They ignore, for example, the relative volatility of the
particular currencies involved in exchange rate contracts.
    Board officials said the new gauge could increase the
capital required of the largest money center banks, which are
the principal participants in these types of activities.
    They cautioned the Fed board to take account of the
potential impact of the plan on the ability of U.S. banks to
compete in world financial markets.
    However, the staff concluded, ""The credit risks inherent in
such contracts now constitute a significant element of the risk
profiles of some banking organizations.""
    The Fed proposal would exempt all but the 20-25 largest
participants in this market, on grounds the benefits of
including the smaller banks would be outweighed by costs.
    Also excluded would be interest rate and foreign exchange
contracts traded on organized exchanges.
    Governor Martha Seger said she was concerned that Japan was
not involved in the U.K.-U.S. effort to draft new capital
rules.
 Reuter
</text>",interest,6
