text,topicname,label
"<text>
<title>AGENCY REPORTS 39 SHIPS WAITING AT PANAMA CANAL</title>
<dateline>    WASHINGTON, Feb 26 - </dateline>The Panama Canal Commission, a U.S.
government agency, said in its daily operations report that
there was a backlog of 39 ships waiting to enter the canal
early today. Over the next two days it expects --              
             2/26  2/27
                       Due: 27    35
      Scheduled to Transit: 35    41
           End-Day Backlog: 31    25
    Average waiting time tomorrow --
         Super Tankers  Regular Vessels
 North End:  13 hrs      15 hrs
 South End:   4 hrs      26 hrs
 Reuter
</text>",ship,7
"<text>
<title>GULF BARGE FREIGHT RATES UP FURTHER ON CALL</title>
<dateline>    ST LOUIS, Feb 26 - </dateline>Gulf barge freight rates firmed again on
the outlook for steady vessel loadings at the Gulf, increasing
the demand for barges to supply those ships, dealers said.
    No barges traded today on the St Louis Merchants' Exchange
call session, versus 29 yesterday.
    Quotes included -
 - Delivery this week on the Illinois River (Joliet) 135 pct of
tariff bid/140 offered, with next week same river (ex Chicago)
quoted the same - both up 2-1/2 percentage points.
 - Next week Mississippi River (St Louis) 120 pct bid/127-1/2
offered - up five points.
 - Next week Ohio River (Owensboro/south) 125 pct bid/132-1/2
offered - up 7-1/2 points.
 - On station Illinois River (south Chicago) 135 pct bid/140
offered - no comparison.
 - March Illinois (ex Chicago) 132-1/2 pct bid/140 offered - up
2-1/2 points.
 - March Ohio River bid at yesterday's traded level of 125 pct,
offered at 132-1/2.
 - March lower Mississippi River (Memphis/Cairo) 112-1/2 pct
bid/120 offered - no comparison.
 - May Illinois River (ex Chicago) 100 pct bid/107-1/2 offered
- no comparison.
 - Sept/Nov Lower Mississippi River (Memphis/Cairo) 137-1/2 pct
bid/145 offered, with Sept/Dec same section 125 pct bid/135
offered - no comparison.
 Reuter
</text>",ship,7
"<text>
<title>CHINA SIGNS WORLD BANK LOAN FOR TIANJIN PORT</title>
<dateline>    PEKING, March 2 - </dateline>China has signed a 130 mln dlr loan
agreement with the World Bank to partly finance 12 new berths
with an annual capacity of 6.28 mln tonnes at the 20 mln tonne
a year capacity Tianjin port, the New China News Agency said.
    China will provide 370 mln yuan for the project and a
Chinese company won a bid against 12 other firms from seven
countries to do the foundation work, it said.
    It said 11 of the new berths will be able to handle ships
of more than 10,000 tonnes, three will handle containers and
the expansion will enable the port to handle coke, non-metal
mineral ores and mining equipment for the first time.
 REUTER
</text>",ship,7
"<text>
<title>ROTTERDAM PORT UNION AND EMPLOYERS TO MEET</title>
<dateline>    ROTTERDAM, March 2 - </dateline>Dutch port and transport union, FNV,
agreed to an employers' request to reconvene abandoned peace
talks tonight to try to end strikes that have disrupted
Rotterdam's general cargo sector for the past six weeks, a
union spokesman said.
    Talks broke down Thursday when the union walked out after
employers tabled their final offer to end the strikes which
started January 19 in protest at planned redundancies of 800
from the sector's 4,000 workforce, starting with 350 this year.
    The employers' invitation to restart the talks comes on the
day a deadline set by Minister of Social Affairs Louw de Graaf
for a resolution of the dispute expires.
    De Graaf said if the dispute had not ended by today he
would withdraw the 10 mln guilder annual labour subsidy to the
sector.
    No comment was immediately available from the employers'
organization.
 Reuter
</text>",ship,7
"<text>
<title>VERSATILE TO BUILD POLAR ICE BREAKER</title>
<dateline>    OTTAWA, March 2 - </dateline>Versatile Corp's shipbuilding subsidiary
has a letter of intent to build a 320 mln dlr polar icebreaker
for the Canadian coast guard, Transport Minister John Crosbie
said.
    In a Vancouver address, Crosbie said Versatile Pacific
Shipyards Inc was the low bidder to build the Arctic Class 8
icebreaker, but the company must meet certain financial and
engineering conditions before the contract is awarded.
    The government also announced it will provide up to 13 mln
dlrs in loan insurance to help Versatile prepare for the
construction of the vessel.
said before the contract can be awarded Versatile ""will be
required to offer assurances that the shipyard is technically
and financially capable of performing the work.""
    Crosibie said Versatile's bid was 100 mln dlrs lower than
competing bidders and will generate 1,000 person years of
direct employment.
    Work on the vessel, which Crosbie said would be the most
powerful icebreaker in the world, would begin next year and
completed in 1992.
    The government announced plans to build the icebreaker last
year following the controversial passage of the U.S. Coast
Guard's vessel, the Polar Sea, through the disputed Northwest
Passage. The U.S. government did not seek permission for the
journey, claiming the area was an international water way.
    The government said the icebreaker was needed to back up
the country's claim of sovereignty in the Arctic.
 Reuter
</text>",ship,7
"<text>
<title>CANADIAN SEAFARERS THREATEN STRIKE</title>
<dateline>    MONTREAL, March 2 - </dateline>Canadian seafarers are almost certain
to go on strike this spring in a refusal to meet rollbacks in
wages and benefits asked for by their employers, Seafarers'
International Union official Roman Gralewicz said.
    ""It's 99.9 percent--I guarantee you a strike,"" Gralewicz
said in an interview.
    The union represents about 2,300 workers on the Great Lakes
and Canada's East and West coasts. Contract talks broke off in
January and a conciliator has been appointed to try to help
settle the dispute. The current contract expires at the end of
March.
    The seafarers' employers are also asking for a reduction in
crew levels, a move which the union said would cost about 400
jobs.
 Reuter
</text>",ship,7
"<text>
<title>NEITHER SIDE OPTIMISTIC ON ROTTERDAM PORT ISSUES</title>
<dateline>    ROTTERDAM, March 3 - </dateline>Employers and the port union, FNV, are
to meet again this afternoon to attempt a settlement of the
six-week-old dispute in Rotterdam's general cargo sector, but
neither side is optimistic, spokesmen for both sides told
Reuters.
    Little progress was made in last night's three hours of
talks, with both sides largely reiterating their positions.
    ""There is still a very large gap between the employers and
the FNV, and I can't say that we expect to reach any agreement.
But at least we are still talking,"" a union spokesman said.
    Employers organization chairman, Jacques Schoufour, accused
the FNV of intransigence in refusing to alter its stance at all
over the past two months.
    ""The FNV is not serious about our discussions and I am
really not optimistic about it changing its point of view at
all.""
    ""If we find this afternoon that the FNV still refuses to
accept the necessary redundancies in the general cargo sector,
then we will break off the talks and the redundancies may begin
later this month,"" Schoufour said.
    The series of strikes, which employers say has cost them
more than seven mln guilders in lost import business in the
past six weeks, began on January 19 in protest at plans for 800
redundancies from the sector's 4,000 workforce starting with
350 this year.
    Late last month Social Affairs minister Louw de Graaf said
unless the dispute was settled by yesterday he would withdraw
the sector's 10 mln guilder annual labour subsidy.
    Both sides wrote to the minister yesterday setting out
their cases, but Schoufour said he did not expect to hear from
him before Wednesday at the earliest.
 Reuter
</text>",ship,7
"<text>
<title>MCLEAN INDUSTRIES &lt;MII&gt; UNIT TRANSERS SERVICE</title>
<dateline>    CRANFORD, N.J., March 3 - </dateline>McLean Industries Inc said its
shipping subsidiary, United States Lines Inc, reached an
agreement in principle to transfer its South American service
to American Transport Lines Inc, a subsidiary of &lt;Crowley
Maritime Corp&gt;.
    Under the terms of the agreement, United States Lines will
lease five vessels to American Transport for 15 months with an
option to extend the period up to 10 years, the company said.
    In return, U.S. Lines will receive a fixed payment and a
percentage of revenues for at least three years and possibly as
long as American Transport utilizes its vessels and conducts
trade in South America, the company said.
    The companies will consummate the transactions as soon as
the required approvals are obtained, McLean said.
 Reuter
</text>",ship,7
"<text>
<title>KENYA SIGNS PACT TO ESTABLISH OWN SHIPPING LINE</title>
<dateline>    NAIROBI, March 4 - </dateline>Kenya has signed an agreement with
British and German interests to establish a shipping line that
will handle 40 pct of the country's external trade, sources
close to the deal said.
    The state-owned Kenya Ports Authority, KPA, signed an
agreement with the Hamburg-based shipping line Unimar
Seetransport to establish the Kenya National Shipping line,
with an initial capital of 100 mln shillings, sources said. KPA
will hold 70 pct of the shares in the new company.
    The line will initially charter vessels to operate services
between Mombasa and the main ports of industrial Europe, but
may eventually build or buy its own ships. The sources said it
would aim to carry a large part of Kenya's coffee and tea
exports and oil and fertiliser imports.
 Reuter
</text>",ship,7
"<text>
<title>TAIWAN SHIPBUILDER LOOKS FOR JAPANESE VENTURES</title>
<author>    By Chen Chien-kuo, Reuters</author>
<dateline>    TAIPEI, March 5 - </dateline>Taiwan's state-owned China Shipbuilding
Corp (CSBC) plans to seek joint production agreements with
Japan and further diversify into ship repairing to try to trim
its debts, chairman Louis Lo said.
    He told Reuters in an interview that CSBC's first joint
production venture, to build two hulls for &lt;Onomichi Dockyard
Co Ltd&gt;, was a success. Talks on similar projects have been
held with other Japanese firms, including Mitsubishi Heavy
Industries Co Ltd &lt;MITH.T&gt; and Ishikawajima-Harima Heavy
Industries Co Ltd &lt;JIMA.T&gt;, he said.
    Lo said CSBC delivered the hulls of two 2,200-TEU (twenty
foot equivalent unit) container ships this year to Onomichi,
which would complete production.
    ""We expect the successful cooperation between us and
Onomichi will pave the way for further cooperation with other
Japanese shipbuilders in the future,"" Lo said.
    He said Japanese firms would gain from the lower cost of
shipbuilding in Taiwan while CSBC would benefit from Japanese
technology and marketing. This would pose a challenge to
competitors in Europe and South Korea.
    Lo said CSBC has made losses of about 100 mln U.S. Dlrs
since beginning operations in 1975. Its total debt now stands
at about 500 mln dlrs, with annual interest payments of nearly
three mln dlrs.
    But he said the company, which is Taiwan's largest
shipbuilder, still has full government support and had begun
diversifying into ship repairing and manufacture of pipes and
other machinery.
    ""We hope we can survive and prosper through diversification,""
he said.
    Lo said income from ship repairing almost doubled to 20 mln
U.S. Dlrs in the year ended June 1986 compared with the
previous financial year. He estimated income would rise to more
than 25 mln dlrs in 1986/87.
    CSBC has orders to build 10 ships totalling 460,000 dead
weight tons (dwt) this financial year, compared with 11 ships
of 462,000 dwt in 1985/86, he said.
    Lo said the prospects for shipbuilding were gloomy at least
until 1991 due to overtonnage, but the outlook for ship
repairing was bright.
 REUTER
</text>",ship,7
