text,topicname,label
"<text>
<title>U.S. SUGAR IMPORTS DOWN IN WEEK - USDA</title>
<dateline>    WASHINGTON, Feb 26 - </dateline>Sugar imports subject to the U.S.
sugar import quota during the week ended January 9, the initial
week of the 1987 sugar quota year, totaled 5,988 short tons
versus 46,254 tons the previous week, the Agriculture
Department said.
    The sugar import quota for the 1987 quota year
(January-December) has been set at 1,001,430 short tons
compared with 1,850,000 tons in the 1986 quota year, which was
extended three months to December 31.
    The department said the Customs Service has reported that
weekly and cumulative imports are reported on an actual weight
basis and when final polarizations are received, cumulative
import data are adjusted accordingly.
 Reuter
</text>",sugar,9
"<text>
<title>SUGAR QUOTA IMPORTS DETAILED -- USDA</title>
<dateline>    WASHINGTON, Feb 26 - </dateline>The U.S. Agriculture Department said
cumulative sugar imports from individual countries during the
1987 quota year, which began January 1, 1987 and ends December
31, 1987 were as follows, with quota allocations for the quota
year in short tons, raw value --
            CUMULATIVE     QUOTA 1987
              IMPORTS     ALLOCATIONS
 ARGENTINA        nil          39,130
 AUSTRALIA        nil          75,530
 BARBADOS         nil           7,500
 BELIZE           nil          10,010
 BOLIVIA          nil           7,500
 BRAZIL           nil         131,950
 CANADA           nil          18,876
                           QUOTA 1987
              IMPORTS     ALLOCATIONS
 COLOMBIA         103          21,840
 CONGO            nil           7,599
 COSTA RICA       nil          17,583
 IVORY COAST      nil           7,500
 DOM REP        5,848         160,160
 ECUADOR          nil          10,010
 EL SALVADOR      nil          26,019.8
 FIJI             nil          25,190
 GABON            nil           7,500
                           QUOTA 1987
              IMPORTS     ALLOCATIONS
 GUATEMALA        nil          43,680
 GUYANA           nil          10,920
 HAITI            nil           7,500
 HONDURAS         nil          15,917.2
 INDIA            nil           7,500
 JAMAICA          nil          10,010
 MADAGASCAR       nil           7,500
 MALAWI           nil           9,,100
                           QUOTA 1987
               IMPORTS    ALLOCATIONS
 MAURITIUS         nil         10,920
 MEXICO             37          7,500
 MOZAMBIQUE        nil         11,830
 PANAMA            nil         26,390
 PAPUA NEW GUINEA  nil          7,500
 PARAGUAY          nil          7,500
 PERU              nil         37,310
 PHILIPPINES       nil        143,780
 ST.CHRISTOPHER-
 NEVIS             nil          7,500
                          QUOTA 1987
                IMPORTS  ALLOCATIONS
 SWAZILAND          nil         14,560
 TAIWAN             nil         10,920
 THAILAND           nil         12,740
 TRINIDAD-TOBAGO    nil          7,500
 URUGUAY            nil          7,500
 ZIMBABWE           nil         10,920

 Reuter
</text>",sugar,9
"<text>
<title>INDONESIAN SUGAR OUTPUT SEEN SHORT OF TARGET</title>
<dateline>    JAKARTA, March 2 - </dateline>Indonesia's raw sugar output is likely
to be 1.8 mln tonnes in calendar 1987, unchanged from 1986 and
below the government's 1987 forecast of 2.5 mln, the U.S.
Embassy said in its agricultural outlook for 1987.
    Indonesia bought 162,500 tonnes of raw sugar on world
markets in late 1986, the report said.
    The embassy estimated Indonesia's calendar 1986 raw sugar
production at 1.8 mln tonnes, against a government estimate of
1.99 mln.
    It said that Indonesia's move into sugar self-sufficiency
in 1984 may have been short-lived.
    The report said, ""The government continues to promote
sugarcane production through its smallholder intensification
program and a relatively high guaranteed price to sugarcane
producers.
    ""However, there are considerable indications that farmers
are reluctant to plant cane because its economic return is not
as good as that of other crops.""
 REUTER
</text>",sugar,9
"<text>
<title>INDIAN SUGAR OUTPUT RISES IN FIRST FOUR MONTHS</title>
<dateline>    NEW DELHI, March 2 - </dateline>India's sugar output to January 31 in
the 1986/87 season (October/September) rose to 3.66 mln tonnes
from 3.46 mln in the same 1985/86 period, the Indian Sugar
Mills Association said.
    Total offtake in the first four months of the current year
was 2.71 mln tonnes (including 241,000 tonnes imported) for
domestic use and 4,000 tonnes for export, against 2.81 mln
tonnes (including 993,000 imported) for domestic use and 3,000
tonnes for export in the corresponding period of 1985/86.
    Factory stocks at end-January were 3.05 mln tonnes (96,000
imported) against 3.13 mln (96,000 imported) a year earlier.
 REUTER
</text>",sugar,9
"<text>
<title>INDIA TO HOLD WHITE SUGAR BUYING TENDER</title>
<dateline>    LONDON, March 2 - </dateline>India will hold a buying tender on
Wednesday, March 4, for two to three cargoes of white sugar for
March/April shipment, traders said.
 REUTER
</text>",sugar,9
"<text>
<title>CUBA TELLS TRADERS SUGAR EXPORTS MAY BE DELAYED</title>
<dateline>    LONDON, March 2 - </dateline>Cuba has told international sugar
operators who have bought its sugar for shipment in March that
these contracts will take second place to Cuba's direct
shipments to its export markets, dealers here said.
    Some traders who have received telexes from Cuba said the
language of the message was not totally clear and some believed
shipments would be honoured if the traders declare the Soviet
Union as the destination of their contracts.
    The telexes have fueled rising world prices in the last
week and reflect a poor Cuban crop, worry over Brazil's export
availability, and increasing Soviet demand, analysts said.
    Traders said signs of Cuba's shortage of immediately
available raw sugar to supply its traditional martkets was
probably the factor behind Syria calling a snap buying tender
last month.
    Normally Syria calls white sugar buying tenders for forward
delivery, and last month's spot requirement resulted in the
sale of several cargoes.
    Cuba in its telex told operators they would not receive
March shipments as Cuba has to meet its contracts to export
markets, traders said.
 Reuter
</text>",sugar,9
"<text>
<title>COLOMBIA TO SELL SUGAR, LONDON TRADERS SAY</title>
<dateline>    LONDON, March 3 - </dateline>Colombia is holding a snap selling tender
tonight for one cargo of world market raw sugar, traders said.
    The sugar is for March 15/April 15 shipment and bids are
being sought based on the New York May delivery futures
contract, they added.
 Reuter
</text>",sugar,9
"<text type=""BRIEF"">
******<title> UK INTERVENTION BD SAYS EC SOLD 60,500 TONNES WHITE SUGAR AT REBATE 43.147 ECUS.
</title>Blah blah blah.


</text>",sugar,9
"<text>
<title>U.K. INTERVENTION BOARD DETAILS EC SUGAR SALES</title>
<dateline>    LONDON, March 4 - </dateline>A total 60,500 tonnes of current series
white sugar received export rebates of a maximum 43.147
European Currency Units (Ecus) per 100 kilos at today's
European Community (EC) tender, the U.K. Intervention Board
said.
    Out of this, traders in the U.K. Received 43,500 tonnes, in
the Netherlands 12,000, in Denmark 4,000 and in West Germany
1,000 tonnes.
    Earlier today, London and Paris traders said they expected
the subsidy for the current season whites campaign for licences
to end-July to be between 43.00 and 43.45 Ecus per 100 kilos.
    They had also forecast today's total authorised sugar
tonnage export awards to be between 60,000 and 80,000 tonnes
versus 103,000 last week when the restitution was 43.699 Ecus.
 REUTER
</text>",sugar,9
"<text>
<title>DOM REPUBLIC SELLS CZARNIKOW 35,000 TONS SUGAR</title>
<dateline>    ****SANTO DOMINGO, March 4 - </dateline>The Dominican Republic sold
35,000 long tons of sugar for immediate delivery, with an
option for 25,000 tons more, to Czarnikow Rionda of New York,
the state sugar council announced.
    It was not immediately clear when the sale was made or at
what price. A council communique said ""the sale was made at the
best prevailing conditions in the world sugar market.""
 Reuter
</text>",sugar,9
"<text>
<title>EC COMMISSION DETAILS SUGAR TENDER</title>
<dateline>    BRUSSELS, March 4 - </dateline>The European Commission confirmed it
authorised the export of 60,500 tonnes of current series white
sugar at a maximum rebate of 43.147 European Currency Units
(ECUs) per 100 kilos.
    Out of this, traders in the U.K. Received 43,500 tonnes, in
the Netherlands 12,000, in Denmark 4,000 and in West Germany
1,000 tonnes.
 REUTER
</text>",sugar,9
"<text>
<title>INDIA BUYS UP TO 10 CARGOES SUGAR - TRADERS</title>
<dateline>    LONDON, March 4 - </dateline>India bought up to 10 cargoes of white
sugar at a buying tender today which originally called for just
two to three cargoes of March/April shipment, traders said.
    London trader E D and F Man said it sold two cargoes at 233
dlrs a tonne CIF for March/April shipment with an option to
sell an additional two cargoes at the same price.
    Traders said at least one other international trader made a
similar contract while a French house sold two cargoes at an
outright price of 233 dlrs CIF without the option. This brought
total Indian purchases to at least six cargoes with traders
having options to sell another four.
 Reuter
</text>",sugar,9
"<text>
<title>PERU SUGAR HARVEST SEEN LOWER -- USDA</title>
<dateline>    WASHINGTON, March 4 - </dateline>Sugar production in Peru for the
1986/87 season has been revised to 593,000 tonnes (raw value),
down 10 pct from the previous forecast and 21 pct below the
1985/86 harvest, the U.S. Agriculture Department said in its
World Production and Trade Report.
    It said while rains in the northern mountain region are
improving the supply of irrigation water, the major benefits
will not occur until the 1987/88 season.
 Reuter
</text>",sugar,9
"<text>
<title>CHINA SUGAR OUTPUT SEEN LOWER -- USDA</title>
<dateline>    WASHINGTON, March 4 - </dateline>China's 1986/87 sugar crop has been
revised to 5.26 mln tonnes (raw value), down four pct from the
previous forecast and five pct below the previous season, the
U.S. Agriculture Department said.
    In its World Production and Trade Report, the department
attributed the decline to relatively poor profitability of
sugar, causing harvested area of cane and beets to decline
seven pct from 1985/86.
    Beet sugar production for 1986/87 is now estimated at
837,000 tonnes, five pct less than earlier forecast and down
five pct from the previous season, while cane output is
projected at 4.423 mln tonnes, down four pct from previously
forecast and five pct below the previous season, it said.
 Reuter
</text>",sugar,9
