earn : [['acq', 0.9973531096758533], ['ship', 0.00225558091314609], ['earn', 0.0003905318549502895], ['interest', 7.765093970115851e-07], ['sugar', 1.0013289533634495e-09], ['money-supply', 3.261545689462897e-11], ['crude', 1.270880782761253e-11], ['trade', 6.104129972153974e-18], ['money-fx', 2.2647026175101725e-19], ['grain', 1.0596273300140461e-19]]
earn : [['earn', 1.0], ['money-supply', 5.321280060871593e-22], ['interest', 4.7002837313400905e-29], ['ship', 1.7591396284459352e-31], ['acq', 3.6443054078938454e-33], ['sugar', 1.9703631747061615e-33], ['crude', 4.9169761553160815e-37], ['grain', 3.2099255456882526e-44], ['trade', 2.0466726914054589e-44], ['money-fx', 2.1575308635324991e-47]]
earn : [['interest', 0.8644279242318634], ['sugar', 0.13238405258884184], ['ship', 0.0029696361071254312], ['money-supply', 0.0001351765844513285], ['crude', 8.321036780790467e-05], ['money-fx', 1.1982244443921835e-10], ['acq', 8.127369024209284e-14], ['earn', 6.380616829106179e-15], ['trade', 1.3493575540173624e-19], ['grain', 1.2207024778911877e-21]]
earn : [['interest', 0.999999999186312], ['ship', 7.194103899127006e-10], ['crude', 9.42777052721483e-11], ['money-supply', 7.993146186635971e-17], ['money-fx', 6.350298738574529e-18], ['sugar', 3.3767149801284266e-19], ['trade', 1.4235777312512187e-21], ['acq', 9.116543195888977e-28], ['grain', 8.9302925963059e-35], ['earn', 4.093137900316413e-35]]
earn : [['money-supply', 0.8713199029461424], ['sugar', 0.127696285428391], ['interest', 0.0009370383066772007], ['crude', 3.320006558460251e-05], ['earn', 8.354413449261032e-06], ['money-fx', 3.8411968205119735e-06], ['ship', 1.3776357870321056e-06], ['trade', 5.070667499514454e-12], ['grain', 2.0757619526025424e-12], ['acq', 1.6280693498434207e-15]]
earn : [['earn', 1.0], ['money-supply', 8.948590976271124e-17], ['sugar', 1.022441456933612e-18], ['ship', 2.9676777883464775e-19], ['acq', 5.362551877410143e-20], ['crude', 5.949596034900488e-23], ['interest', 1.695177870066931e-24], ['grain', 2.2516228446527555e-28], ['trade', 9.037521638762866e-30], ['money-fx', 2.6543252297661704e-30]]
earn : [['earn', 0.9945191426031212], ['interest', 0.003243759508747384], ['acq', 0.0020494335532342815], ['money-supply', 0.00017621075591081283], ['sugar', 6.288960291489935e-06], ['grain', 2.583906287347902e-06], ['crude', 1.0134520443154001e-06], ['money-fx', 8.775159967456224e-07], ['trade', 4.2558626193578525e-07], ['ship', 2.641581042854642e-07]]
earn : [['earn', 0.9895108084962015], ['ship', 0.010487802939720138], ['sugar', 1.357254635361208e-06], ['interest', 1.66351199504853e-08], ['crude', 1.0742555984170673e-08], ['acq', 3.802786726745949e-09], ['money-fx', 8.321452410067017e-11], ['trade', 4.57331167291075e-11], ['money-supply', 3.080155720896121e-14], ['grain', 1.9835055675432487e-15]]
earn : [['ship', 0.9999992732132943], ['interest', 7.047656562132829e-07], ['sugar', 2.2019268764416837e-08], ['acq', 1.7758834806481406e-12], ['trade', 4.80249443171792e-15], ['crude', 4.3993337391088394e-18], ['money-supply', 7.299349384334786e-20], ['money-fx', 5.021321299298234e-23], ['grain', 4.286863050302063e-28], ['earn', 2.9160806088474607e-42]]
earn : [['money-supply', 0.9993567651525205], ['sugar', 0.0004249808554094537], ['acq', 0.00010475871491394543], ['earn', 8.041281760283373e-05], ['ship', 3.240435780931236e-05], ['interest', 4.782606338109904e-07], ['crude', 1.9984110971695399e-07], ['grain', 3.3814896703190174e-16], ['money-fx', 7.15361857611267e-17], ['trade', 8.354308236424232e-20]]
earn : [['earn', 0.999997928783533], ['ship', 1.0632165111141677e-06], ['acq', 8.255039628190208e-07], ['crude', 1.6116863100370399e-07], ['money-supply', 1.5841394989973482e-08], ['sugar', 5.467251930905533e-09], ['interest', 1.870345447996348e-11], ['money-fx', 1.0902314715718632e-14], ['grain', 5.904634359492124e-16], ['trade', 1.364566794553123e-18]]
earn : [['earn', 0.9985721172552993], ['crude', 0.0014216206184475267], ['sugar', 6.2614248161864295e-06], ['interest', 2.778487315151631e-10], ['money-supply', 2.1478065237254984e-10], ['ship', 2.07133863342676e-10], ['acq', 1.6737280521819464e-12], ['grain', 3.691839553206091e-18], ['trade', 3.1204572988731734e-18], ['money-fx', 7.296568380490633e-21]]
earn : [['earn', 1.0], ['money-supply', 3.905234921633876e-19], ['ship', 3.857359519164804e-20], ['acq', 7.57167465075976e-21], ['interest', 5.823655628390441e-21], ['sugar', 1.2730071779109057e-21], ['crude', 8.599494294492426e-24], ['grain', 9.145798226481646e-25], ['money-fx', 4.728656624028089e-28], ['trade', 3.529156320520134e-30]]
